x,y,i
0,0,1
1,1,2
1,1,3
2,0,4
2,2,5
2,2,6
3,1,7
3,1,8
3,3,9
3,3,10
4,0,11
4,2,12
4,2,13
4,4,14
4,4,15
5,1,16
5,1,17
5,3,18
5,3,19
5,5,20
5,5,21
6,0,22
6,2,23
6,2,24
6,4,25
6,4,26
6,6,27
6,6,28
7,1,29
7,1,30
7,3,31
7,3,32
7,5,33
7,5,34
7,7,35
7,7,36
8,0,37
8,2,38
8,2,39
8,4,40
8,4,41
8,6,42
8,6,43
8,8,44
8,8,45
9,1,46
9,1,47
9,3,48
9,3,49
9,5,50
9,5,51
9,7,52
9,7,53
9,9,54
9,9,55
10,0,56
10,2,57
10,2,58
10,4,59
10,4,60
10,6,61
10,6,62
10,8,63
10,8,64
10,10,65
10,10,66
11,1,67
11,1,68
11,3,69
11,3,70
11,5,71
11,5,72
11,7,73
11,7,74
11,9,75
11,9,76
11,11,77
11,11,78
12,0,79
12,2,80
12,2,81
12,4,82
12,4,83
12,6,84
12,6,85
12,8,86
12,8,87
12,10,88
12,10,89
12,12,90
12,12,91
13,1,92
13,1,93
13,3,94
13,3,95
13,5,96
13,5,97
13,7,98
13,7,99
13,9,100
13,9,101
13,11,102
13,11,103
13,13,104
13,13,105
14,0,106
14,2,107
14,2,108
14,4,109
14,4,110
14,6,111
14,6,112
14,8,113
14,8,114
14,10,115
14,10,116
14,12,117
14,12,118
14,14,119
14,14,120
15,1,121
15,1,122
15,3,123
15,3,124
15,5,125
15,5,126
15,7,127
15,7,128
15,9,129
15,9,130
15,11,131
15,11,132
15,13,133
15,13,134
15,15,135
15,15,136
16,0,137
16,2,138
16,2,139
16,4,140
16,4,141
16,6,142
16,6,143
16,8,144
16,8,145
16,10,146
16,10,147
16,12,148
16,12,149
16,14,150
16,14,151
16,16,152
16,16,153
17,1,154
17,1,155
17,3,156
17,3,157
17,5,158
17,5,159
17,7,160
17,7,161
17,9,162
17,9,163
17,11,164
17,11,165
17,13,166
17,13,167
17,15,168
17,15,169
17,17,170
17,17,171
18,0,172
18,2,173
18,2,174
18,4,175
18,4,176
18,6,177
18,6,178
18,8,179
18,8,180
18,10,181
18,10,182
18,12,183
18,12,184
18,14,185
18,14,186
18,16,187
18,16,188
18,18,189
18,18,190
19,1,191
19,1,192
19,3,193
19,3,194
19,5,195
19,5,196
19,7,197
19,7,198
19,9,199
19,9,200
